Epoch 0093/2100 | Loss 0.00000 | Score: -5.0 | Epsilon=0.0956 (train=False)
Epoch 0094/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0955 (train=False)
Epoch 0095/2100 | Loss 0.00000 | Score: -6.0 | Epsilon=0.0955 (train=False)
Epoch 0096/2100 | Loss 0.00000 | Score: -4.0 | Epsilon=0.0954 (train=False)
Epoch 0097/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0954 (train=False)
Epoch 0098/2100 | Loss 0.00000 | Score: -6.0 | Epsilon=0.0953 (train=False)
Epoch 0099/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0953 (train=False)
Epoch 0100/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0952 (train=False)
Epoch 0101/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0952 (train=False)
Epoch 0102/2100 | Loss 0.10058 | Score: -8.0 | Epsilon=0.0951 (train=True)
Epoch 0103/2100 | Loss 0.08992 | Score: -7.0 | Epsilon=0.0951 (train=True)
Epoch 0104/2100 | Loss 0.09218 | Score: -7.0 | Epsilon=0.0951 (train=True)
Epoch 0105/2100 | Loss 0.06369 | Score: -7.0 | Epsilon=0.0950 (train=True)
Epoch 0106/2100 | Loss 0.09655 | Score: -7.0 | Epsilon=0.0950 (train=True)
Epoch 0107/2100 | Loss 0.06305 | Score: -6.0 | Epsilon=0.0949 (train=True)
Epoch 0108/2100 | Loss 0.09455 | Score: -6.0 | Epsilon=0.0949 (train=True)
Epoch 0109/2100 | Loss 0.07600 | Score: -7.0 | Epsilon=0.0948 (train=True)
Epoch 0110/2100 | Loss 0.07794 | Score: -3.0 | Epsilon=0.0948 (train=True)
Epoch 0111/2100 | Loss 0.05951 | Score: -8.0 | Epsilon=0.0947 (train=True)
Epoch 0112/2100 | Loss 0.07003 | Score: -8.0 | Epsilon=0.0947 (train=True)
Epoch 0113/2100 | Loss 0.09545 | Score: -8.0 | Epsilon=0.0946 (train=True)
Epoch 0114/2100 | Loss 0.06650 | Score: -8.0 | Epsilon=0.0946 (train=True)
Epoch 0115/2100 | Loss 0.07181 | Score: -7.0 | Epsilon=0.0945 (train=True)
Epoch 0116/2100 | Loss 0.10142 | Score: -8.0 | Epsilon=0.0945 (train=True)
Epoch 0117/2100 | Loss 0.08914 | Score: -7.0 | Epsilon=0.0944 (train=True)
Epoch 0118/2100 | Loss 0.07919 | Score: -4.0 | Epsilon=0.0944 (train=True)
Epoch 0119/2100 | Loss 0.08796 | Score: -8.0 | Epsilon=0.0943 (train=True)
Epoch 0120/2100 | Loss 0.08217 | Score: -4.0 | Epsilon=0.0943 (train=True)
Epoch 0121/2100 | Loss 0.08759 | Score: -8.0 | Epsilon=0.0942 (train=True)
Epoch 0122/2100 | Loss 0.05767 | Score: -7.0 | Epsilon=0.0942 (train=True)
Epoch 0123/2100 | Loss 0.08057 | Score: -7.0 | Epsilon=0.0941 (train=True)
Epoch 0124/2100 | Loss 0.09727 | Score: -6.0 | Epsilon=0.0941 (train=True)
Epoch 0125/2100 | Loss 0.08512 | Score: -8.0 | Epsilon=0.0941 (train=True)
